BeadNumBefore,R,G,B,BeadNumAfter,R,G,B,deltaR,deltaG,deltaB
0,28.5255102,104.0561224,167.244898,0,22.7244898,80.94387755,148.0816327,-5.801020408,-23.1122449,-19.16326531
1,32.1377551,120.0204082,185.7040816,1,25.81632653,94.22959184,164.8163265,-6.321428571,-25.79081633,-20.8877551
2,29.54081633,107.1785714,172.1683673,2,23.37244898,83.47959184,151.5969388,-6.168367347,-23.69897959,-20.57142857
3,33.9744898,128.5765306,203.8163265,3,26.92346939,97.61734694,176.2295918,-7.051020408,-30.95918367,-27.58673469
4,29.60204082,110.8979592,181.4642857,4,23.38265306,85.12755102,156.7857143,-6.219387755,-25.77040816,-24.67857143
5,26.83163265,103.6479592,173.244898,5,21.35204082,80.8877551,154.7397959,-5.479591837,-22.76020408,-18.50510204
6,24.77040816,90.56632653,148.1020408,6,19.75,69.73979592,129.1479592,-5.020408163,-20.82653061,-18.95408163
7,28.15816327,109.5816327,183.5102041,7,22.36734694,83.76530612,158.6173469,-5.790816327,-25.81632653,-24.89285714
8,32.05102041,123.9642857,206.6530612,8,25.85204082,94.86734694,177.9897959,-6.198979592,-29.09693878,-28.66326531
9,26.22959184,101.0255102,169.5561224,9,20.59693878,76.38265306,144.7755102,-5.632653061,-24.64285714,-24.78061224
10,26.23979592,102.0918367,173.1938776,10,20.98469388,79.1377551,153.5102041,-5.255102041,-22.95408163,-19.68367347
11,27.75510204,101.9540816,171.0663265,11,21.90816327,77.40816327,145.9387755,-5.846938776,-24.54591837,-25.12755102
12,34.16836735,129.8112245,214.1632653,12,26.27040816,97.59693878,185.4387755,-7.897959184,-32.21428571,-28.7244898
13,33.01020408,123.8010204,200.8979592,13,26.01530612,94.93367347,175.0663265,-6.994897959,-28.86734694,-25.83163265
14,27.91326531,103.1071429,173.8367347,14,21.81122449,77.23979592,147.6581633,-6.102040816,-25.86734694,-26.17857143
15,28.51020408,106.3877551,181.0255102,15,22.39285714,81.69387755,158.2244898,-6.117346939,-24.69387755,-22.80102041
16,27.01530612,96.78571429,156.755102,16,21.31632653,74.32142857,134.3622449,-5.698979592,-22.46428571,-22.39285714
17,36.52040816,133.2857143,216.4081633,17,29.59183673,106.9846939,200.5867347,-6.928571429,-26.30102041,-15.82142857
18,26.14795918,99.48979592,168.2193878,18,20.84693878,76.51530612,148.3418367,-5.301020408,-22.9744898,-19.87755102
19,28.76020408,104.0816327,172.8418367,19,22.77040816,79.99489796,151.0918367,-5.989795918,-24.08673469,-21.75
20,27.33673469,100.9744898,170.0969388,20,21.57653061,78.02040816,150.3367347,-5.760204082,-22.95408163,-19.76020408
21,27.99489796,102.7653061,166.0102041,21,22.14795918,78.66836735,144.1836735,-5.846938776,-24.09693878,-21.82653061
22,23.99489796,88.05612245,145.7142857,22,19.02040816,67.99489796,128.1632653,-4.974489796,-20.06122449,-17.55102041
23,26.31122449,99.82142857,172.8265306,23,20.76530612,76.85714286,152.0204082,-5.545918367,-22.96428571,-20.80612245
24,27.12755102,100.5612245,169.994898,24,21.28061224,76.44897959,148.5255102,-5.846938776,-24.1122449,-21.46938776
25,28.39795918,106.4336735,173.9387755,25,22.42857143,82.04081633,151.1020408,-5.969387755,-24.39285714,-22.83673469
26,22.66836735,81.55102041,136.6479592,26,18.35204082,65.04591837,123.9081633,-4.316326531,-16.50510204,-12.73979592
27,33.28571429,124.8418367,203.2908163,27,26.74489796,98.25510204,182.1683673,-6.540816327,-26.58673469,-21.12244898
28,28.64285714,113.7857143,190.5561224,28,23.58673469,92.44897959,176.6122449,-5.056122449,-21.33673469,-13.94387755
